agent_id,model_name,job_category,job_difficulty,total_attempts,avg_count_per_run,std_count_per_run,n_runs
agent_1,gemma4:e4b,biology,hard,5,1.6666666666666667,0.5773502691896258,3
agent_1,gemma4:e4b,business,hard,4,1.3333333333333333,0.5773502691896257,3
agent_1,gemma4:e4b,business,medium,1,1.0,,1
agent_1,gemma4:e4b,chemistry,hard,10,2.5,1.2909944487358056,4
agent_1,gemma4:e4b,chemistry,medium,1,1.0,,1
agent_1,gemma4:e4b,computer science,hard,5,1.25,0.5,4
agent_1,gemma4:e4b,economics,hard,6,1.2,0.4472135954999579,5
agent_1,gemma4:e4b,economics,medium,1,1.0,,1
agent_1,gemma4:e4b,engineering,hard,5,2.5,2.1213203435596424,2
agent_1,gemma4:e4b,engineering,medium,3,1.5,0.7071067811865476,2
agent_1,gemma4:e4b,health,hard,8,1.6,0.5477225575051662,5
agent_1,gemma4:e4b,health,medium,1,1.0,,1
agent_1,gemma4:e4b,history,hard,6,1.2,0.4472135954999579,5
agent_1,gemma4:e4b,history,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,law,easy,1,1.0,,1
agent_1,gemma4:e4b,law,hard,8,1.6,1.3416407864998738,5
agent_1,gemma4:e4b,law,medium,1,1.0,,1
agent_1,gemma4:e4b,math,hard,11,2.2,2.16794833886788,5
agent_1,gemma4:e4b,philosophy,easy,1,1.0,,1
agent_1,gemma4:e4b,philosophy,hard,11,2.2,1.0954451150103321,5
agent_1,gemma4:e4b,physics,hard,10,3.3333333333333335,2.0816659994661326,3
agent_1,gemma4:e4b,physics,medium,3,1.5,0.7071067811865476,2
agent_1,gemma4:e4b,psychology,easy,1,1.0,,1
agent_1,gemma4:e4b,psychology,hard,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,biology,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,biology,hard,9,2.25,0.5,4
agent_2,nemotron-3-nano:4b,biology,medium,4,1.3333333333333333,0.5773502691896257,3
agent_2,nemotron-3-nano:4b,business,easy,2,2.0,,1
agent_2,nemotron-3-nano:4b,business,hard,7,1.75,0.9574271077563381,4
agent_2,nemotron-3-nano:4b,business,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,chemistry,easy,2,2.0,,1
agent_2,nemotron-3-nano:4b,chemistry,hard,4,1.3333333333333333,0.5773502691896257,3
agent_2,nemotron-3-nano:4b,computer science,hard,13,2.6,1.51657508881031,5
agent_2,nemotron-3-nano:4b,computer science,medium,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,economics,easy,2,2.0,,1
agent_2,nemotron-3-nano:4b,economics,hard,6,3.0,0.0,2
agent_2,nemotron-3-nano:4b,economics,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,engineering,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,engineering,hard,7,2.3333333333333335,0.5773502691896258,3
agent_2,nemotron-3-nano:4b,engineering,medium,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,health,hard,7,1.75,0.5,4
agent_2,nemotron-3-nano:4b,history,hard,11,2.75,1.707825127659933,4
agent_2,nemotron-3-nano:4b,history,medium,4,1.3333333333333333,0.5773502691896258,3
agent_2,nemotron-3-nano:4b,law,hard,7,1.75,0.5,4
agent_2,nemotron-3-nano:4b,law,medium,2,2.0,,1
agent_2,nemotron-3-nano:4b,math,easy,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,math,hard,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,math,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,philosophy,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,philosophy,hard,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,philosophy,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,physics,easy,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,physics,hard,11,3.6666666666666665,2.516611478423583,3
agent_2,nemotron-3-nano:4b,physics,medium,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,psychology,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,psychology,hard,4,1.0,0.0,4
agent_2,nemotron-3-nano:4b,psychology,medium,1,1.0,,1
agent_3,qwen3.5:4b,biology,easy,1,1.0,,1
agent_3,qwen3.5:4b,biology,hard,6,1.5,0.5773502691896257,4
agent_3,qwen3.5:4b,biology,medium,2,1.0,0.0,2
agent_3,qwen3.5:4b,business,easy,1,1.0,,1
agent_3,qwen3.5:4b,business,hard,4,2.0,1.4142135623730951,2
agent_3,qwen3.5:4b,business,medium,3,1.5,0.7071067811865476,2
agent_3,qwen3.5:4b,chemistry,easy,2,1.0,0.0,2
agent_3,qwen3.5:4b,chemistry,hard,4,1.3333333333333333,0.5773502691896258,3
agent_3,qwen3.5:4b,chemistry,medium,4,1.3333333333333333,0.5773502691896257,3
agent_3,qwen3.5:4b,computer science,easy,2,1.0,0.0,2
agent_3,qwen3.5:4b,computer science,hard,4,2.0,0.0,2
agent_3,qwen3.5:4b,economics,hard,8,1.6,0.5477225575051661,5
agent_3,qwen3.5:4b,economics,medium,4,1.3333333333333333,0.5773502691896257,3
agent_3,qwen3.5:4b,engineering,easy,3,1.5,0.7071067811865476,2
agent_3,qwen3.5:4b,engineering,hard,3,1.5,0.7071067811865476,2
agent_3,qwen3.5:4b,engineering,medium,1,1.0,,1
agent_3,qwen3.5:4b,health,easy,2,1.0,0.0,2
agent_3,qwen3.5:4b,health,hard,3,1.0,0.0,3
agent_3,qwen3.5:4b,history,hard,4,2.0,0.0,2
agent_3,qwen3.5:4b,history,medium,4,1.0,0.0,4
agent_3,qwen3.5:4b,law,easy,1,1.0,,1
agent_3,qwen3.5:4b,law,hard,9,2.25,1.2583057392117916,4
agent_3,qwen3.5:4b,law,medium,4,1.3333333333333333,0.5773502691896257,3
agent_3,qwen3.5:4b,math,easy,2,1.0,0.0,2
agent_3,qwen3.5:4b,math,hard,9,2.25,1.2583057392117916,4
agent_3,qwen3.5:4b,math,medium,5,1.25,0.5,4
agent_3,qwen3.5:4b,philosophy,easy,1,1.0,,1
agent_3,qwen3.5:4b,philosophy,hard,5,2.5,2.1213203435596424,2
agent_3,qwen3.5:4b,philosophy,medium,5,1.6666666666666667,1.1547005383792517,3
agent_3,qwen3.5:4b,physics,hard,9,2.25,1.8929694486000912,4
agent_3,qwen3.5:4b,physics,medium,4,2.0,1.4142135623730951,2
agent_3,qwen3.5:4b,psychology,easy,2,1.0,0.0,2
agent_3,qwen3.5:4b,psychology,hard,2,1.0,0.0,2
agent_3,qwen3.5:4b,psychology,medium,2,1.0,0.0,2
agent_4,qwen3:8b,biology,hard,3,1.5,0.7071067811865476,2
agent_4,qwen3:8b,biology,medium,6,1.5,1.0,4
agent_4,qwen3:8b,business,easy,1,1.0,,1
agent_4,qwen3:8b,business,hard,4,2.0,1.4142135623730951,2
agent_4,qwen3:8b,business,medium,2,1.0,0.0,2
agent_4,qwen3:8b,chemistry,hard,1,1.0,,1
agent_4,qwen3:8b,chemistry,medium,4,1.3333333333333333,0.5773502691896258,3
agent_4,qwen3:8b,computer science,hard,2,1.0,0.0,2
agent_4,qwen3:8b,economics,easy,1,1.0,,1
agent_4,qwen3:8b,economics,hard,2,1.0,0.0,2
agent_4,qwen3:8b,economics,medium,9,3.0,2.0,3
agent_4,qwen3:8b,engineering,easy,1,1.0,,1
agent_4,qwen3:8b,engineering,hard,5,2.5,0.7071067811865476,2
agent_4,qwen3:8b,engineering,medium,4,1.3333333333333333,0.5773502691896258,3
agent_4,qwen3:8b,health,hard,1,1.0,,1
agent_4,qwen3:8b,health,medium,3,1.5,0.7071067811865476,2
agent_4,qwen3:8b,history,easy,1,1.0,,1
agent_4,qwen3:8b,history,hard,2,2.0,,1
agent_4,qwen3:8b,history,medium,5,1.6666666666666667,0.5773502691896257,3
agent_4,qwen3:8b,law,hard,3,3.0,,1
agent_4,qwen3:8b,law,medium,2,1.0,0.0,2
agent_4,qwen3:8b,math,hard,2,2.0,,1
agent_4,qwen3:8b,math,medium,5,2.5,0.7071067811865476,2
agent_4,qwen3:8b,philosophy,hard,6,2.0,1.0,3
agent_4,qwen3:8b,philosophy,medium,3,1.5,0.7071067811865476,2
agent_4,qwen3:8b,physics,easy,1,1.0,,1
agent_4,qwen3:8b,physics,hard,4,1.3333333333333333,0.5773502691896257,3
agent_4,qwen3:8b,physics,medium,5,1.6666666666666667,1.1547005383792517,3
agent_4,qwen3:8b,psychology,easy,1,1.0,,1
agent_4,qwen3:8b,psychology,hard,6,1.5,0.5773502691896257,4
agent_4,qwen3:8b,psychology,medium,1,1.0,,1
agent_5,qwen3.5:9b,biology,easy,4,1.3333333333333333,0.5773502691896257,3
agent_5,qwen3.5:9b,biology,medium,1,1.0,,1
agent_5,qwen3.5:9b,business,easy,6,1.5,0.5773502691896257,4
agent_5,qwen3.5:9b,business,hard,1,1.0,,1
agent_5,qwen3.5:9b,business,medium,2,1.0,0.0,2
agent_5,qwen3.5:9b,chemistry,easy,2,1.0,0.0,2
agent_5,qwen3.5:9b,computer science,easy,2,1.0,0.0,2
agent_5,qwen3.5:9b,computer science,medium,1,1.0,,1
agent_5,qwen3.5:9b,economics,easy,4,1.3333333333333333,0.5773502691896258,3
agent_5,qwen3.5:9b,economics,hard,2,2.0,,1
agent_5,qwen3.5:9b,economics,medium,2,1.0,0.0,2
agent_5,qwen3.5:9b,engineering,easy,3,1.0,0.0,3
agent_5,qwen3.5:9b,engineering,hard,1,1.0,,1
agent_5,qwen3.5:9b,engineering,medium,2,1.0,0.0,2
agent_5,qwen3.5:9b,health,easy,4,1.3333333333333333,0.5773502691896258,3
agent_5,qwen3.5:9b,health,hard,1,1.0,,1
agent_5,qwen3.5:9b,history,easy,2,2.0,,1
agent_5,qwen3.5:9b,history,hard,1,1.0,,1
agent_5,qwen3.5:9b,law,easy,1,1.0,,1
agent_5,qwen3.5:9b,law,hard,1,1.0,,1
agent_5,qwen3.5:9b,law,medium,1,1.0,,1
agent_5,qwen3.5:9b,math,easy,2,2.0,,1
agent_5,qwen3.5:9b,philosophy,easy,4,1.3333333333333333,0.5773502691896257,3
agent_5,qwen3.5:9b,philosophy,hard,1,1.0,,1
agent_5,qwen3.5:9b,philosophy,medium,1,1.0,,1
agent_5,qwen3.5:9b,physics,easy,2,2.0,,1
agent_5,qwen3.5:9b,physics,hard,2,2.0,,1
agent_5,qwen3.5:9b,physics,medium,2,1.0,0.0,2
agent_5,qwen3.5:9b,psychology,easy,3,1.5,0.7071067811865476,2
agent_5,qwen3.5:9b,psychology,hard,3,1.5,0.7071067811865476,2
agent_5,qwen3.5:9b,psychology,medium,2,2.0,,1
